TYPE,LOCATION_NAME,ADDRESS,HOURS,DURATION,COMMUNITY,SECTOR,VENDOR_NAME,VENDOR_DESCRIPTION,PRODUCT_DESCRIPTION,CREATE_DT_UTC,MOD_DT_UTC,POINT,GLOBALID
Farm Stand,Bridgeland: Columbus Manor,40 11A Street NE,Monday 11:30am - 1:30pm,Year-round,Bridgeland/ Riverside,Northeast,Fresh Routes,"Fresh Routes is a not-for-profit social enterprise. Their Mobile Grocery Stores bring healthy, fresh, and affordable food into neighbourhoods facing barriers: allowing choice, maintaining dignity, and building community. Their mission is to ensure that everyone has access to affordable, nutritious food and is informed to make healthy decisions and live a healthy life!","Fresh fruit, vegetables, whole grains, and eggs.",2022/02/10,2024/04/11,POINT (-114.0344284 51.0504938),0108acff-ad8b-4625-8f9a-b02b684cef33
Farm Stand,Hillhurst Sunnyside: Community Association,1320 5 Ave NW,Monday 4pm-6pm,Year-round,Hillhurst,Northwest,Fresh Routes,"Fresh Routes is a not-for-profit social enterprise. Their Mobile Grocery Stores bring healthy, fresh, and affordable food into neighbourhoods facing barriers ¿ allowing choice, maintaining dignity, and building community. Their mission is to ensure that everyone has access to affordable, nutritious food and is informed to make healthy decisions and live a healthy life!","Fresh fruit, vegetables, whole grains, and eggs.",2023/05/04,2024/04/11,POINT (-114.0925564 51.057507),c71d0982-47c4-4501-a2f5-087de6473075
Farm Stand,University Heights: Foothills Mennonite Church,2115 Urbana RD NW,Thursday 10am - 1pm,Open May 2 to October,University Heights,Northwest,Broxburn Vegetables,"Broxburn Vegetables is located just outside of Lethbridge, Alberta and has been growing superior quality field and greenhouse fruits and vegetables for nearly 30 years. Broxburn supplies many of Calgary's top restaurant Chefs with the best quality produce.","Vine-ripened tomatoes, long English cucumbers, mini cucumbers, broccoli, peppers, eggplant, beans, butterleaf lettuce, herbs, strawberries, fresh eggs, preserves, Noble Meadows goat cheese, and more.",2024/01/11,2024/04/11,POINT (-114.1355993 51.0711352),4f31ded7-ea34-4447-a14b-64e09fbe0a0a
Farm Stand,Montgomery: Community Association,5003 16 Ave NW,Wednesday 10am-1pm,Open May 1 to October,Montgomery,Northwest,Broxburn Vegetables,"Broxburn Vegetables, located just outside of Lethbridge Alberta has been growing superior quality field and greenhouse fruits and vegetables for over 15 years. Broxburn supplies many of Calgary's top restaurant Chefs with the best quality local fruits an","Vine-ripened tomatoes, long English cucumbers, mini cucumbers, broccoli, peppers, eggplant, beans, butterleaf lettuce, herbs, strawberries, fresh eggs, preserves, Noble Meadows goat cheese, and more.",2024/03/15,2024/04/11,POINT (-114.1652713 51.0724339),a9095f29-140f-4200-859e-e7d69f0db805
Farm Stand,Alberta University of the Arts,1407 14 Ave NW,Friday 11:30am-1:30pm,Year-round,Hillhurst,Northwest,Fresh Routes,"Fresh Routes is a not-for-profit social enterprise. Their Mobile Grocery Stores bring healthy, fresh, and affordable food into neighbourhoods facing barriers: allowing choice, maintaining dignity, and building community. Their mission is to ensure that everyone has access to affordable, nutritious food and is informed to make healthy decisions and live a healthy life!","Fresh fruit, vegetables, whole grains, and eggs.",2024/03/15,2024/04/11,POINT (-114.0911515 51.0622441),867b2e19-8cd1-4c42-b2b0-7db6d947b70d
Farm Stand,North Haven: Community Association,5003 North Haven Dr NW,Wednesday 3:30pm - 6:00pm,Open May 29 to September,North Haven,Northwest,Lil Green Urban Farm,"At Lil Green Urban Farm, our goal is to provide families and businesses in Calgary with fresh locally grown produce year round. We use greenhouse, hydroponic, and field growing techniques. My passion for gardening, food, and my family have led me to explore food sustainability and access to fresh, clean, local food. I love the science, art, and stubborn hard work of it all.","Microgreens, tomatoes, carrots, beets, radishes, beans, peas, herbs, flower starters, and more.",2024/01/11,2024/04/11,POINT (-114.0866448 51.0990882),37f99334-8396-4be0-b916-9e845f59e09a
Farm Stand,Skyview Ranch: Community Association,67 Skyview Ranch St  NE,Monday 4-7:30pm,remove,Skyview Ranch,Northeast,Cultivatr,"Our goal is to rebuild the relationship people have with their food, and where it comes from. We're here to connect the city with the countryside where food is grown and produced. We want to link local livelihood with sustenance, and provide consumers with a connection to sustainable, ethical meat and produce.","Variety of local and regional produce, specialty herbs, and greens.",2024/01/11,2024/04/11,POINT (-113.9562176 51.1600656),e4e53f70-7b3a-4a0c-a5a7-60387d18e451
Farm Stand,Ranchlands: Community Association,7713 Ranchview Dr NW,Monday 2pm-6pm,May 20 to October,Ranchlands,Northwest,Shirley's Greenhouse,"We are a 36,000 square foot greenhouse located east of Didsbury, Alberta. We also grow 12 acres of field vegetables. We grow all our vegetables WITHOUT the use of synthetic pesticides.","Many varieties of tomatoes, cucumbers, hot peppers, bell peppers, butter lettuce, kale, and a variety of field vegetables.",2024/03/15,2024/04/11,POINT (-114.1795566 51.1196629),c9449340-bc96-4614-ad18-4298888c06b7
Farm Stand,Greenwood Village: Dome Community Centre,3223 83 St NW,Friday 2:30pm - 4pm,Year-round,Greenwood - Greenbriar,Northwest,Fresh Routes,"Fresh Routes is a not-for-profit social enterprise. Their Mobile Grocery Stores bring healthy, fresh, and affordable food into neighbourhoods facing barriers: allowing choice, maintaining dignity, and building community. Their mission is to ensure that everyone has access to affordable, nutritious food and is informed to make healthy decisions and live a healthy life!","Fresh fruit, vegetables, whole grains, and eggs.",2022/08/26,2024/04/11,POINT (-114.2202569 51.0910836),31d718ec-2be3-45e6-89e2-28cd2592b0e6
Farm Stand,East Village: Murdoch Manor,808 5 St SE,Wednesday 2:30pm-4pm,Year-round,East Village,Southeast,Fresh Routes,"Fresh Routes is a not-for-profit social enterprise. Their Mobile Grocery Stores bring healthy, fresh, and affordable food into neighbourhoods facing barriers ¿ allowing choice, maintaining dignity, and building community. Their mission is to ensure that everyone has access to affordable, nutritious food and is informed to make healthy decisions and live a healthy life!","Fresh fruit, vegetables, whole grains, and eggs.",2023/06/21,2024/04/11,POINT (-114.0502923 51.0447169),77366ab6-8154-4e03-b596-276a9eb6986c
